convID,messageID,message,Intent Identified,Correct/Incorrect,Entity Identified,Correct/Incorrect
75,75-1,"Show verse 9.9 of chapter 9","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 9.0
sloka-number: 9.9",Correct
75,75-2,"Yes","shloka.search - yes",Correct,"",Correct
75,75-3,"Display the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
75,75-4,"How are these verses connected?","Default Fallback Intent",Correct,"",Correct
76,76-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
76,76-2,"Please display verse 18 from chapter 8","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 8.0
sloka-number: 18.0",Correct
76,76-3,"No","shloka.search - no",Correct,"",Correct
76,76-4,"I understand, thank you","appreciate",Correct,"",Correct
77,77-1,"verse 8 of chapter 7","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 7.0
sloka-number: 8.0",Correct
77,77-2,"Can you share verse 7.8?","get.previous.sloka",Incorrect,"number: 7.8
shloka-verse: Shloka",Incorrect
77,77-3,"Yes","get.previous.sloka - yes",Correct,"",Correct
77,77-4,"How does Krishna describe himself here?","Default Fallback Intent",Correct,"",Correct
78,78-1,"Show all verses from chapter 6","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 6.0
shloka-verse: Shloka",Correct
78,78-2,"Thank you","appreciate",Correct,"",Correct
78,78-3,"Which verse talks about meditation?","Default Fallback Intent",Correct,"",Correct
79,79-1,"Give me a summary of chapter 5","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 5.0
shloka-verse: null",Correct
79,79-2,"How does this chapter discuss karma?","Default Fallback Intent",Correct,"",Correct
80,80-1,"Could you show verse 4.4 of chapter 4?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 4.0
sloka-number: 4.4",Correct
80,80-2,"Yes","shloka.search - yes",Correct,"",Correct
80,80-3,"What's the main teaching here?","Default Fallback Intent",Correct,"",Correct
81,81-1,"Provide a summary of chapter 3","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 3.0
shloka-verse: null",Correct
81,81-2,"Display verse 3.3 from chapter 3","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: 3.3",Correct
81,81-3,"No","shloka.search - no",Correct,"",Correct
81,81-4,"Thank you for the information","appreciate",Correct,"",Correct
82,82-1,"Display verse 2.20 from chapter 2","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 2.0
sloka-number: 2.2",Incorrect
82,82-2,"Yes","shloka.search - yes",Correct,"",Correct
82,82-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
82,82-4,"How do these verses relate?","Default Fallback Intent",Correct,"",Correct
83,83-1,"Namaste","Default Fallback Intent",Correct,"",Correct
83,83-2,"Please show all verses of chapter 1","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 1.0
shloka-verse: Shloka",Correct
83,83-3,"Thank you","appreciate",Correct,"",Correct
83,83-4,"Which verse introduces the main conflict?","Default Fallback Intent",Correct,"",Correct
84,84-1,"Provide a summary of chapter 18","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 18.0
shloka-verse: null",Correct
84,84-2,"Display verse 20 from chapter 18","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 18.0
sloka-number: 20.0",Correct
84,84-3,"How does this verse summarize the chapter?","Default Fallback Intent",Correct,"",Correct
85,85-1,"Display verse 7 of chapter 17","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 17.0
sloka-number: 7.0",Correct
85,85-2,"Yes","shloka.search - yes",Correct,"",Correct
85,85-3,"Show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
85,85-4,"What's the connection between these verses?","Default Fallback Intent",Correct,"",Correct
86,86-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
86,86-2,"Please show verse 16.1 from chapter 16","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 16.0
sloka-number: 16.1",Correct
86,86-3,"No","shloka.search - no",Correct,"",Correct
86,86-4,"Thank you anyway","appreciate",Correct,"",Correct
87,87-3,"Can you explain its context?","Default Fallback Intent",Correct,"",Correct
87,87-4,"Yes","get.previous.sloka - yes",Correct,"",Correct
88,88-1,"Display all verses of chapter 14","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 14.0
shloka-verse: Shloka",Correct
88,88-2,"Thank you","appreciate",Correct,"",Correct
88,88-3,"Which verse is most significant?","Default Fallback Intent",Correct,"",Correct
89,89-1,"Provide a summary of chapter 13","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 13.0
shloka-verse: null",Correct
89,89-2,"How does this chapter relate to the previous one?","get.previous.chapter.summary",Correct,"chapter-adhyay: Chapter
number: 1.0",Incorrect
90,90-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
90,90-2,"Could you show verse 12.2 from chapter 12?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 12.0
sloka-number: 12.2",Correct
90,90-3,"Yes","shloka.search - yes",Correct,"",Correct
90,90-4,"What's the key message here?","Default Fallback Intent",Correct,"",Correct
91,91-1,"Provide a summary of chapter 11","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: null",Correct
91,91-2,"Display verse 11.18 from chapter 11","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 11.0
sloka-number: 11.18",Correct
91,91-3,"No","shloka.search - no",Correct,"",Correct
91,91-4,"I see, thank you","Default Welcome Intent",Incorrect,"person: null",Incorrect
92,92-1,"Display verse 15 from chapter 10","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 10.0
sloka-number: 15.0",Correct
92,92-2,"Yes","shloka.search - yes",Correct,"",Correct
92,92-3,"Show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
92,92-4,"Show the following verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
92,92-5,"Thank you","appreciate",Correct,"",Correct
93,93-1,"Namaste","Default Fallback Intent",Correct,"",Correct
93,93-2,"Please show all verses of chapter 9","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: Shloka",Correct
93,93-3,"Thank you","appreciate",Correct,"",Correct
93,93-4,"That was informative","Default Fallback Intent",Correct,"",Correct
94,94-1,"Provide a summary of chapter 8","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: null",Correct
94,94-2,"Display verse 8.1 from chapter 8","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 8.0
sloka-number: 8.1",Correct
94,94-3,"How does this relate to the summary?","chapter.summary",Incorrect,"chapter-adhyay: 
chapter-number: 
shloka-verse: null",Incorrect
95,95-1,"Display verse 7.7 of chapter 7","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 7.0
sloka-number: 7.7",Correct
95,95-2,"Yes","shloka.search - yes",Correct,"",Correct
95,95-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
95,95-4,"What does this mean?","Default Fallback Intent",Correct,"",Correct
96,96-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
96,96-2,"Please show shloka 6.1 from chapter 6","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 6.1",Correct
96,96-3,"No","shloka.search - no",Correct,"",Correct
96,96-4,"Thank you","appreciate",Correct,"",Correct
96,96-5,"Goodbye","Default Fallback Intent",Correct,"",Correct
97,97-1,"verse 4 of chapter 5","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 5.0
sloka-number: 4.0",Correct
97,97-2,"Would you share verse 5.4?","get.previous.sloka",Incorrect,"number: 5.4
shloka-verse: Shloka",Incorrect
97,97-3,"Can you explain its meaning?","Default Fallback Intent",Correct,"",Correct
97,97-4,"Yes","get.previous.sloka - yes",Correct,"",Correct
98,98-1,"Display all verses of chapter 3","shloka.search",Incorrect,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: ",Incorrect
98,98-2,"Thank you for sharing","shloka.search",Incorrect,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: ",Incorrect
99,99-1,"Provide a summary of chapter 2","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 2.0
shloka-verse: null",Correct
99,99-2,"That's interesting, could you explain more?","Default Fallback Intent",Correct,"",Correct
100,100-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
100,100-2,"Could you show verse 6 from chapter 1?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 1.0
sloka-number: 6.0",Correct
100,100-3,"Yes","shloka.search - yes",Correct,"",Correct
100,100-4,"Please show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
100,100-5,"Thank you","appreciate",Correct,"",Correct

